Hangi meyvenin rengi kırmızıdır?,elma
En büyük gezegen hangisidir?,jupiter
Dünyanın en yüksek dağı hangisidir?,everest
Hangi ülkenin başkenti Moskova'dır?,rusya
Atatürk'ün nüfusa kayıtlı olduğu il?,gaziantep
Hangi elementin sembolü Au'dur?,altın
Japonların geleneksel güreşine ne ad verilir?,sumo
İnsanların en yakın akrabası hangi hayvandır?,şempanze
Mozart hangi müzik türünde ün yapmıştır?,klasik
İspanya'nın başkenti nedir?,madrid
Hangi bilim dalı evrenin kökeni yapısı ile ilgilenir?,kozmoloji
Kardeş ülke?,azerbaycan
Uçağı kullanan kişiye ne ad verilir?,pilot
Osmanlinin yönetim sekli?,padişahlık
